localidad,a_huelga,a_la_educacion,a_la_honra/_al_honor,a_la_identidad_cultural,a_la_informacion,a_la_integracion_de_discapacidad,a_la_integridad_fisica_y_psiquica,a_la_nacionalidad,a_la_participacion,a_la_salud,a_la_seguridad/vida_sin_violencia,a_la_seguridad_social,a_la_vida,a_la_vivienda_digna,a_sindicalizarse_y_a_la_negociacion_colectiva,a_sufragio/votar,acceso_a_informacion_publica,acceso_a_la_cultura,al_salario_equitativo,al_trabajo,amistad_civica,autonomia/libertad,bien_comun/comunidad,cambio_o_reforma_constitucional,ciudadania,congreso_o_parlamento_(estructura_y_funciones),contraloria_general/tribunales_de_cuentas,cumplimiento_de_las_leyes_y_normas,cumplimiento_de_obligaciones_fiscales,cumplimiento_de_tratados_y_obligaciones_internacionales,de_los_pueblos_indigenas,de_peticion_ante_las_autoridades,de_propiedad,de_proteccion_y_conservacion_de_patrimonio_historico_y_cultural,de_satisfacer_cargas_publicas,deberes_de_proteccion_de_conservacion_de_la_naturaleza,defensor_del_pueblo/ciudadano,democracia,derecho_de_asociacion,"derechos_del_nino,_nina_y_adolescente",desarrollo,descentralizacion,dignidad,diversidad,division_territorial,ejercicio_legitimo_y_no_abusivo_de_los_derechos,emprendimiento_libre,equidad_de_genero,estado_de_derecho,estado_de_excepcion,estado_laico,forma_de_estado:_federalismo/autonomias_regionales,fuerzas_armadas,gobierno_local/municipal,gobierno_nacional(estructura_y_funciones),gobierno_provincial,gobierno_regional,identidad_cultural,igualdad,igualdad_ante_la_ley,igualdad_ante_las_cargas_publicas,igualdad_ante_los_tributos,igualdad_de_acceso_a_la_justicia/debido_proceso,igualdad_de_genero,inclusion,innovacion/creatividad,integracion,jefatura_de_gobierno,juicio_politico_/acusacion_constitucional,justicia,justicia_constitucional,justicia_electoral,libertad_ambulatoria,libertad_de_conciencia,libertad_de_ensenanza,libertad_de_expresion,libertad_de_trabajo,libertad_personal,libre_iniciativa_economica_/_libre_empresa,ministerio_publico/_defensoria_publica,multiculturalidad,no_discriminacion,participacion,patriotismo,paz/convivencia_pacifica,"plebiscitos,_referendos_y_consultas",pluralismo,plurinacionalismo,poder_judicial_(estructura_y_funciones),presidencia_de_la_republica,privacidad_e_intimidad,probidad,proteccion_judicial_de_los_derechos,"proteccion,_promocion_y_respeto_de_los_derechos_humanos_y_fundamentales",republica,respeto,respeto/conservacion_de_la_naturaleza_o_medio_ambiente,respeto_a_la_naturaleza/medio_ambiente,respeto_de_derechos_de_otros,respeto_por_la_constitucion,responsabilidad,reunion_pacifica,regimen_de_gobierno_presidencial/semi-presidencial/parlamentario,seguridad,ser_elegido_en_cargos_publicos,servicio_a_la_comunidad,soberania,solidaridad,subsidiaridad,tolerancia,transparencia_y_publicidad,unidad
Coquimbo/Limari/Punitaqui,0,2,0,0,0,1,0,0,1,3,0,2,1,0,1,1,0,1,2,0,0,0,1,2,0,2,2,2,0,1,1,0,0,2,0,2,2,2,0,1,0,2,2,0,1,2,0,0,1,1,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,3,0,0,3,0,2,3,3,0,2,0,0,2,0,1,1,1,0,0
Coquimbo/Limari/Rio Hurtado,1,4,0,1,0,0,0,0,1,4,1,0,1,1,0,2,1,0,0,2,0,1,0,3,0,1,0,2,0,1,0,0,1,4,1,4,1,2,0,0,1,3,2,2,1,2,0,2,0,0,0,2,3,3,0,2,3,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,4,0,2,1,2,0,1,0,3,0,2,2,0,2,2,4,0,0,0,1,4,1,0,1,0,1,0
La Araucania/Cautin/Carahue,0,5,0,0,0,0,0,0,1,5,0,0,0,2,0,1,1,0,3,0,0,0,1,4,0,1,3,3,1,0,2,1,0,3,0,4,1,3,0,0,0,4,0,1,0,2,0,2,2,0,1,2,1,4,1,1,4,0,3,3,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,4,0,0,0,2,0,1,0,4,0,1,3,2,3,5,3,0,2,2,0,2,0,1,0,0,0,0
La Araucania/Cautin/Cholchol,0,2,0,1,1,1,0,0,1,3,0,0,0,3,0,1,1,0,1,1,0,0,1,2,0,2,0,3,1,1,1,0,0,2,0,3,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,1,1,0,1,0,2,0,2,2,1,0,2,2,0,0,1,0,1,0,0,0,1,1,0
La Araucania/Cautin/Cunco,0,3,0,0,2,1,0,0,0,3,1,1,0,1,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,1,1,0,0,2,0,3,2,1,0,0,0,2,1,0,0,2,0,2,0,0,0,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,1,0,1,0,0,1,3,0,0,1,2,2,1,1,0,1,1,0,2,1,0,0,1,1,0
La Araucania/Cautin/Curarrehue,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,2,0,2,1,1,0,0,0,2,0,0,1,2,0,0,0,0,1,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,2,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0
La Araucania/Cautin/Freire,0,5,0,0,0,0,0,0,1,5,2,0,3,1,1,1,1,0,2,1,1,1,1,2,1,1,1,2,2,2,1,0,1,3,0,4,1,1,0,0,0,4,1,0,0,2,0,0,1,0,0,3,0,2,0,1,4,2,2,2,0,0,0,0,2,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,3,2,1,0,0,3,0,2,2,1,0,0,0,3,0,2,3,2,2,2,2,0,3,2,1,1,0,1,1,0,0,0
La Araucania/Cautin/Galvarino,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
La Araucania/Cautin/Gorbea,1,2,0,1,0,0,1,0,2,4,0,2,1,3,0,1,1,0,2,1,0,0,1,1,0,2,1,2,1,2,1,0,0,5,0,6,5,1,0,0,1,4,2,0,0,4,1,1,0,2,0,2,4,4,0,1,5,2,4,2,0,0,0,2,1,0,0,0,2,2,0,1,0,0,1,2,0,0,0,0,1,2,2,0,0,4,0,0,2,1,0,2,0,5,0,5,4,1,4,3,4,0,1,0,1,2,1,2,1,1,1,0
La Araucania/Cautin/Lautaro,0,5,0,0,0,1,0,0,2,7,3,1,4,2,0,2,1,0,3,0,0,0,2,2,0,3,2,7,3,3,0,0,0,4,0,7,3,4,0,1,2,4,1,1,1,2,0,2,2,0,2,1,2,4,1,1,2,0,4,5,0,0,0,1,4,1,0,0,0,4,2,2,0,0,1,1,1,0,0,1,0,1,1,0,0,2,1,0,3,4,0,1,0,5,1,3,6,4,6,4,3,0,2,3,0,1,1,0,1,1,0,0
La Araucania/Cautin/Loncoche,0,4,1,1,0,0,0,0,1,6,2,2,3,1,1,2,0,0,3,2,0,0,2,4,0,4,2,5,2,1,2,1,0,4,0,6,1,4,0,0,1,5,2,0,0,4,0,1,2,1,0,2,2,3,0,0,6,2,3,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,2,1,2,0,0,6,0,0,4,3,0,0,0,4,0,1,4,1,2,6,4,0,4,3,0,1,0,1,0,0,0,0
La Araucania/Cautin/Melipeuco,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
La Araucania/Cautin/Nueva Imperial,0,6,0,0,1,0,1,0,2,6,3,1,4,4,0,0,0,0,4,2,1,1,1,0,0,4,2,3,2,2,1,0,2,4,1,5,0,2,0,2,2,4,2,1,2,4,0,0,2,0,1,0,1,5,1,0,5,2,2,3,0,0,0,0,0,1,0,0,1,5,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,1,4,2,0,0,1,5,0,3,4,1,5,6,7,1,2,2,0,3,0,0,0,0,1,0
La Araucania/Cautin/Padre Las Casas,0,3,0,0,2,4,2,0,2,6,2,5,3,1,1,3,0,0,4,2,1,2,1,2,0,5,2,4,2,1,3,0,0,9,1,6,3,5,0,1,1,4,2,0,0,5,0,4,1,0,2,2,2,2,0,0,3,3,3,4,0,0,2,0,2,0,0,0,2,7,2,1,0,0,0,3,1,1,0,1,2,1,0,0,0,6,0,2,3,1,0,0,1,8,0,6,8,3,8,4,1,0,1,3,0,6,2,1,0,2,0,0
La Araucania/Cautin/Perquenco,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania/Cautin/Pitrufquen,1,2,0,2,2,0,0,0,1,5,1,3,3,0,2,1,0,1,0,0,0,2,4,3,0,6,1,3,1,2,2,0,2,4,1,6,3,5,1,0,0,3,1,0,1,4,0,4,2,1,1,2,2,5,0,2,3,3,4,1,0,0,2,2,1,0,0,0,0,4,0,1,0,0,0,2,1,2,0,0,1,2,1,0,1,4,0,1,3,1,1,0,0,7,0,1,4,1,3,5,2,0,3,1,1,2,2,2,0,0,2,0
La Araucania/Cautin/Pucon,0,5,0,0,0,0,0,0,2,5,1,1,4,4,1,1,0,0,1,0,0,1,4,3,0,1,1,2,2,1,2,0,0,1,1,7,3,5,0,0,1,5,0,1,0,4,0,2,1,1,1,2,3,2,0,0,2,0,3,2,0,0,2,0,1,0,1,0,2,4,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,7,0,2,3,2,1,1,1,4,1,3,5,4,6,4,4,0,1,1,0,4,1,0,2,0,0,0
La Araucania/Cautin/Saavedra,0,2,0,0,0,1,0,0,0,2,0,1,2,1,0,1,1,0,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,1,3,0,3,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,2,0,1,0,1,0,2,1,2,1,2,1,0,0,1,0,2,0,1,0,0,1,0
La Araucania/Cautin/Temuco,4,85,1,7,6,13,10,3,21,98,21,40,60,41,16,14,7,4,31,16,8,34,45,44,1,55,34,69,26,30,21,2,13,81,5,98,54,62,6,7,12,76,25,14,19,60,3,29,25,14,27,45,43,42,14,5,47,13,86,51,0,2,5,16,29,2,6,6,25,52,18,10,1,10,9,33,8,18,3,16,32,21,17,6,14,82,4,27,42,28,3,16,12,105,7,47,63,35,70,73,53,0,54,15,1,55,6,14,8,13,17,0
La Araucania/Cautin/Teodoro Schmidt,0,4,0,2,0,0,0,0,0,5,1,0,5,1,0,0,0,0,1,3,0,2,1,0,0,2,3,2,2,2,1,0,3,3,0,4,1,2,0,0,0,1,1,0,2,2,0,1,2,0,0,1,0,1,0,0,3,2,2,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,3,0,2,4,2,0,0,0,4,0,4,1,1,1,4,2,0,2,0,2,1,0,2,1,0,1,0
La Araucania/Cautin/Tolten,0,4,0,0,0,0,0,0,0,4,1,1,3,0,0,1,0,0,1,2,0,0,0,0,0,5,3,2,1,0,0,0,1,2,0,4,2,0,0,0,0,3,2,0,1,1,0,0,1,0,1,1,3,2,0,1,3,1,3,3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,4,3,1,1,0,3,0,3,1,3,3,4,4,0,0,1,1,1,0,1,0,1,0,0
La Araucania/Cautin/Vilcun,0,6,0,1,2,0,1,0,1,7,2,2,3,5,0,0,0,0,4,0,0,4,5,2,0,3,3,5,1,2,0,0,0,7,0,7,5,3,0,1,0,7,3,1,1,4,0,2,2,0,1,3,1,6,0,2,5,1,7,4,0,0,0,0,0,0,1,1,1,5,1,1,0,1,0,4,1,0,0,2,0,3,4,0,0,7,0,1,3,4,0,2,0,9,0,3,8,4,5,2,3,0,0,3,0,4,0,2,0,0,0,0
La Araucania/Cautin/Villarrica,0,14,0,4,1,1,2,0,3,13,3,4,12,2,0,1,1,1,3,5,0,4,7,7,0,10,2,7,5,4,5,0,2,15,1,15,6,9,0,4,1,14,2,3,1,9,0,2,3,0,3,6,5,7,2,2,8,1,6,7,0,0,0,0,2,0,0,1,1,7,1,1,0,1,1,5,0,1,2,3,6,0,1,0,3,13,0,4,8,7,0,5,1,13,1,7,9,4,8,12,9,0,3,3,1,9,1,4,0,1,1,0
La Araucania/Malleco/Angol,2,14,0,0,0,1,1,1,2,16,9,4,12,6,0,2,0,0,8,6,3,3,7,4,2,7,6,13,4,6,1,0,1,10,0,17,12,7,0,2,1,9,5,3,3,9,1,3,2,1,3,4,8,10,3,5,7,1,13,6,0,0,1,2,5,0,1,0,2,11,1,2,0,0,2,4,1,2,0,2,3,6,3,1,2,11,0,0,7,8,0,4,2,14,0,11,9,7,14,11,14,0,3,7,1,6,1,5,0,1,5,1
La Araucania/Malleco/Collipulli,1,8,0,1,2,1,2,1,0,11,4,0,5,3,0,3,1,0,2,1,0,3,1,2,1,5,1,7,4,4,2,0,1,3,1,10,2,6,0,0,2,6,5,3,1,2,1,4,3,0,2,4,2,3,1,3,5,2,3,4,0,0,2,2,3,1,1,0,0,4,0,0,0,2,2,6,1,0,0,2,2,4,1,1,3,5,0,1,5,4,0,0,0,8,1,6,5,2,9,3,6,1,0,2,1,4,0,4,1,3,3,1
La Araucania/Malleco/Curacautin,0,3,0,0,1,2,0,0,1,4,3,0,2,1,0,0,0,1,2,0,0,2,0,2,0,3,0,1,1,1,0,0,0,3,0,4,2,1,0,1,0,3,0,2,0,2,0,0,0,0,0,1,2,2,0,1,4,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,3,0,3,4,2,4,1,5,0,1,0,0,2,1,1,0,2,0,0
La Araucania/Malleco/Ercilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0
La Araucania/Malleco/Los Sauces,0,1,0,0,0,0,0,0,1,2,0,2,1,1,0,0,0,0,3,1,0,0,1,2,0,3,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,2,0,1,3,0,2,1,0,0,1,1,1,0,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,3,0,0,2,0,0,2,0,3,0,1,2,1,2,1,2,0,0,1,0,1,0,1,0,0,0,0
La Araucania/Malleco/Lumaco,0,3,0,0,0,0,0,0,1,4,0,0,2,2,0,1,0,0,2,1,0,0,0,0,0,1,1,4,1,1,2,0,0,3,0,3,1,1,0,0,0,3,1,1,1,3,0,1,1,0,0,2,2,3,0,1,3,1,4,1,1,0,0,0,3,0,0,0,0,2,2,3,0,0,0,2,0,0,1,1,1,1,0,0,0,3,0,0,2,1,0,0,1,2,0,3,2,1,4,2,4,0,1,1,0,1,1,0,0,0,2,1
La Araucania/Malleco/Puren,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
La Araucania/Malleco/Traiguen,0,3,0,0,0,0,1,0,1,3,0,0,4,0,0,0,0,0,0,0,1,2,3,1,0,3,1,3,0,0,2,0,0,2,1,4,2,3,0,0,0,1,2,1,1,3,0,1,1,0,0,0,1,2,0,1,3,0,2,4,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,3,0,1,2,2,1,0,0,4,0,2,1,2,2,4,3,0,3,1,0,2,1,0,0,0,0,0
La Araucania/Malleco/Victoria,0,3,2,1,0,2,0,0,0,3,2,0,1,1,0,0,1,0,1,1,1,0,0,2,0,1,2,3,1,2,0,0,0,2,0,4,2,3,0,1,0,1,0,1,1,2,0,3,1,0,1,2,3,2,0,1,3,2,2,4,0,0,0,2,1,0,1,0,1,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,1,2,1,0,0,3,0,4,1,3,4,3,4,0,2,1,0,3,0,1,0,1,2,0
Libertador General Bernardo O'Higgins/Cachapoal/Codegua,0,2,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,2,0,3,0,1,0,1,0,2,1,0,1,0,0,2,0,3,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,2,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,3,0,2,3,2,2,1,3,0,1,0,0,1,2,2,0,0,0,0
Libertador General Bernardo O'Higgins/Cachapoal/Coltauco,0,2,0,0,0,0,1,0,0,4,3,1,2,2,0,1,0,0,4,0,1,0,1,1,0,2,1,3,0,1,0,0,0,3,0,3,3,3,0,0,0,1,2,1,0,2,0,1,0,0,0,0,1,3,2,0,1,0,3,2,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,1,2,0,1,1,3,0,2,3,2,2,3,2,0,0,1,0,2,1,0,0,0,0,0
Libertador General Bernardo O'Higgins/Cachapoal/Coinco,0,2,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,1,2,1,0,0,0,1,0,0,0,2,1,1,1,0,1,0,2,2,0,0,2,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,2,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0
Libertador General Bernardo O'Higgins/Cachapoal/Donihue,0,8,0,2,0,1,1,0,2,9,2,2,7,6,2,2,0,1,8,1,1,1,0,5,0,2,4,10,2,2,1,0,0,7,0,8,6,5,0,0,1,6,4,2,4,5,0,1,0,0,1,2,2,5,1,2,7,0,11,6,0,0,0,0,2,1,0,2,3,6,1,3,0,0,1,5,1,0,0,3,1,3,2,1,1,8,0,0,3,5,1,2,0,8,0,10,4,3,5,9,4,0,3,6,0,4,0,2,0,4,1,0
Libertador General Bernardo O'Higgins/Cachapoal/Graneros,0,9,0,0,1,1,0,0,1,9,2,3,3,6,3,2,0,1,2,2,1,0,0,2,1,5,2,6,2,3,0,0,0,5,1,7,4,7,0,0,0,5,3,2,0,5,0,5,2,0,3,3,2,6,2,1,5,0,6,4,0,0,2,0,2,0,0,0,2,5,1,3,0,0,0,1,0,1,0,0,0,0,2,1,0,6,0,1,5,1,0,1,0,7,1,4,4,3,5,7,2,0,4,1,0,5,2,1,0,0,2,0
Libertador General Bernardo O'Higgins/Cachapoal/Las Cabras,0,4,0,0,1,2,0,0,0,4,2,1,1,1,0,2,0,0,1,1,1,0,0,0,0,4,3,3,1,1,1,0,0,3,0,4,1,1,0,1,1,3,1,1,1,4,0,1,1,1,0,1,1,3,0,0,1,1,2,2,0,0,0,1,0,1,1,1,1,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,3,0,1,0,4,0,2,2,1,2,2,2,0,2,1,0,2,0,0,0,1,0,0
Libertador General Bernardo O'Higgins/Cachapoal/Machali,1,21,1,1,8,2,1,0,6,20,3,10,9,9,3,4,1,2,6,8,1,5,8,9,1,15,9,16,6,5,2,0,0,15,2,22,9,11,0,2,1,18,6,1,2,17,1,6,1,0,9,11,14,17,6,1,17,3,20,9,0,1,2,2,4,0,1,0,5,17,0,0,0,2,0,7,2,0,0,2,5,2,5,0,2,23,0,2,10,9,0,4,2,24,1,9,9,8,16,16,11,0,9,10,1,8,2,5,4,3,2,1
Libertador General Bernardo O'Higgins/Cachapoal/Malloa,0,4,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,2,3,1,0,2,0,0,3,0,4,4,3,0,1,0,4,0,0,0,2,0,2,2,1,0,2,1,0,0,0,1,2,5,2,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,1,0,2,1,0,2,0,4,0,0,4,2,3,3,0,0,3,0,0,1,0,0,0,0,0,0
Libertador General Bernardo O'Higgins/Cachapoal/Mostazal,0,3,1,1,0,1,1,0,0,4,2,0,1,3,2,1,0,1,4,0,0,1,1,2,0,5,3,3,1,0,1,0,0,6,1,6,1,1,0,0,0,5,2,0,0,5,0,4,1,1,0,2,3,3,0,0,0,1,3,1,0,1,2,2,0,1,0,1,2,4,0,0,0,0,1,0,0,0,0,3,0,3,1,0,1,3,0,0,2,4,2,3,0,4,0,3,5,2,6,3,4,0,1,2,0,3,1,1,0,1,1,0
Libertador General Bernardo O'Higgins/Cachapoal/Olivar,0,3,0,0,0,0,1,0,1,3,0,1,0,2,1,1,0,0,2,0,0,0,1,2,0,3,1,2,1,1,1,0,0,3,0,3,1,3,0,1,0,1,2,0,1,3,0,1,1,0,0,1,0,2,0,0,1,1,3,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,1,1,0,0,0,2,0,2,3,0,2,2,1,0,0,1,0,2,0,2,0,0,1,0
Libertador General Bernardo O'Higgins/Cachapoal/Peumo,0,2,0,0,0,1,0,0,0,3,0,3,0,2,0,1,0,0,1,2,0,0,0,1,0,1,1,2,1,0,0,0,1,1,0,2,1,1,0,0,0,2,1,0,2,1,0,0,0,1,0,1,0,2,0,1,3,0,3,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,2,0,2,2,1,2,3,1,0,1,1,0,0,0,0,0,1,2,0
Libertador General Bernardo O'Higgins/Cachapoal/Pichidegua,0,2,0,0,0,1,0,0,1,2,0,1,3,1,0,0,0,0,3,0,0,1,2,0,0,2,0,2,1,0,0,0,0,1,1,1,1,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,2,3,0,3,2,0,0,0,1,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,2,0,0,0,0,2,1,2,1,1,1,3,2,0,2,0,0,1,0,1,0,0,1,0
Libertador General Bernardo O'Higgins/Cachapoal/Quinta de Tilcoco,0,5,0,0,0,1,1,0,0,5,2,3,1,5,2,3,0,0,2,1,1,1,1,0,1,3,3,3,1,2,0,0,0,5,0,5,3,3,0,0,1,2,1,0,3,0,0,0,0,0,0,0,2,4,1,1,3,0,1,4,0,0,0,0,2,0,0,0,1,4,1,0,0,0,1,1,0,0,0,1,0,1,2,0,0,4,0,0,4,1,0,2,0,4,1,3,5,3,6,3,3,0,1,3,0,3,0,1,0,0,0,2
Libertador General Bernardo O'Higgins/Cachapoal/Rancagua,11,70,0,3,8,14,10,5,18,73,21,28,32,30,17,15,5,4,32,16,4,20,25,34,3,53,31,62,19,29,13,0,6,54,5,78,40,52,1,17,12,42,16,10,10,51,6,27,15,10,10,27,33,29,10,10,44,6,65,33,1,2,5,14,21,4,7,6,16,62,21,8,0,8,1,21,5,6,1,17,8,15,17,3,2,61,2,9,37,37,0,13,5,76,2,38,46,28,60,68,38,0,29,26,0,33,10,11,2,17,13,1
Libertador General Bernardo O'Higgins/Cachapoal/Rengo,0,10,1,1,0,0,0,0,1,10,5,2,4,3,3,4,1,0,5,0,2,4,6,1,1,3,3,10,1,4,1,0,0,7,1,10,1,3,0,1,0,5,2,2,1,4,1,3,0,0,2,2,5,6,4,1,6,0,8,5,0,0,2,1,4,1,0,0,1,9,3,0,0,0,0,6,0,0,0,1,1,2,0,1,0,8,0,0,3,5,0,1,0,9,0,6,4,3,7,6,6,0,1,1,0,6,2,2,0,1,3,1
Libertador General Bernardo O'Higgins/Cachapoal/Requinoa,0,5,0,0,1,0,0,0,1,7,0,2,3,3,2,1,0,0,5,2,0,2,2,2,1,4,1,3,3,1,2,0,0,4,0,7,3,4,0,1,1,3,2,1,1,3,0,3,2,0,3,1,2,2,1,0,3,1,5,4,0,0,1,1,2,1,0,0,2,3,0,0,0,0,1,4,0,0,0,1,2,1,0,1,1,4,0,1,4,2,0,1,0,6,0,0,5,2,5,4,3,0,1,1,0,3,1,0,2,0,1,0
Libertador General Bernardo O'Higgins/Cachapoal/San Vicente de Tagua Tagua,0,4,0,1,0,0,2,0,3,6,4,0,5,4,1,1,0,0,3,0,0,2,2,2,0,6,3,8,1,1,1,0,1,3,1,7,1,2,0,1,2,3,2,0,1,5,1,1,2,0,0,2,3,5,2,1,6,0,6,3,0,0,2,1,1,1,0,1,2,7,0,0,0,0,0,1,0,1,0,1,0,4,0,0,1,6,0,1,2,3,0,1,1,6,0,4,6,4,7,5,6,0,3,3,0,4,0,2,0,0,3,0
Libertador General Bernardo O'Higgins/Cardenal Caro/La Estrella,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Libertador General Bernardo O'Higgins/Cardenal Caro/Litueche,0,2,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,2,3,0,0,0,0,0,0,0,2,0,0,0,1,0,3,2,1,0,2,0,0,2,0,0,3,1,3,0,1,0,0,0,2,0,0,0,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,2,2,2,2,2,0,0,0,0,3,0,1,0,0,0,0
